BlockID;Config;StopWatch;AccDistance;AccAngle
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
0;0;0,7751806;5,583175E-07;0
